"","Social.Status","Pair","Day","richness","shannon","simp.even","J","S.obs","S.chao1","se.chao1","S.ACE","se.ACE"
"F_Com5_IP","Communal","Non_Pair","Day_IP",140,1.63148620475208,0.098581018444407,0.431132253555378,45,95,28.5117576034419,104.519592055824,5.73703428706164
"F_Com6_D0","Communal","Non_Pair","Day_0",239,1.49725619152032,0.0402492421127055,0.354841440313908,69,139.125,34.688918578153,141.531317560833,6.57455647797409
"F_Com6_D7","Communal","Non_Pair","Day_7",391,0.955473391945821,0.0102848548130721,0.192797969105946,143,263.12,37.7307899494433,287.276539601749,9.97468663238052
"F_Com6_D14","Communal","Non_Pair","Day_14",226,1.53595642322307,0.0292159697844709,0.344821883222922,87,158.75,31.0958417783187,171.300903964313,7.4309480620035
"F_Com6_IP","Communal","Non_Pair","Day_IP",287,1.69229008031063,0.0329766467473099,0.361435850090439,109,220.235294117647,40.091905240711,252.466116345488,10.0154661329821
"F_Iso1_D0","Isolate","Non_Pair","Day_0",347,1.26165378479703,0.016098858767947,0.258790301428989,132,304.117647058824,58.0600791610274,310.986956521739,11.4134669572884
"F_Iso1_D7","Isolate","Non_Pair","Day_7",233,1.93713803712628,0.058346230659359,0.428400842745832,93,215.214285714286,46.2872635852557,237.453513758445,7.87474040427821
"F_Iso1_D14","Isolate","Non_Pair","Day_14",172,1.25947831220568,0.0158593041581378,0.258750775166635,131,217.666666666667,29.2566043410367,238.007131894399,10.2410288748456
"F_Iso1_IP","Isolate","Non_Pair","Day_IP",290,1.54053278498137,0.01728528828201,0.307452587259044,151,235.774193548387,26.6145998960562,268.409233287521,9.8914250090439
"F_Iso2_D0","Isolate","Non_Pair","Day_0",301,1.95231212760592,0.0359132339792044,0.414544985200839,112,234.214285714286,46.287741744174,233.562112831496,8.5208514912454
"F_Iso2_D7","Isolate","Non_Pair","Day_7",309,1.18010628757778,0.0187610714492392,0.246071273621675,122,325.571428571429,71.8443967964845,329.268516906362,10.7717336137379
"F_Iso2_D14","Isolate","Non_Pair","Day_14",212,0.623945817867533,0.0297438192517576,0.164882280812519,45,82.5,20.6229911785734,112.465610790025,6.83989515313112
"F_Iso2_IP","Isolate","Non_Pair","Day_IP",109,0.813539221811409,0.0437646093261997,0.228821259618278,36,78.75,28.1011232423218,87.5,6.26180153856418
"F_Iso3_D0","Isolate","Non_Pair","Day_0",170,1.14762555876528,0.0388425469105191,0.280295305225223,61,107.75,21.8727332131238,134.790034540542,8.05408016776583
"F_Iso3_D7","Isolate","Non_Pair","Day_7",209,0.624843784299344,0.0117985805110028,0.132676457648627,112,239.105263157895,43.2315180990483,281.520563170963,12.3066340398425
"F_Iso3_D14","Isolate","Non_Pair","Day_14",141,0.859702851910216,0.0422201265038137,0.230010391422733,43,130,48.3646437930723,138.62411010916,2.96324702025071
"F_Iso3_IP","Isolate","Non_Pair","Day_IP",269,0.8818670272298,0.0159414551461062,0.194560986154172,94,184.083333333333,37.6195080022353,179.82746186522,8.03957494163067
"F_Iso4_D7","Isolate","Non_Pair","Day_7",358,2.08796807113672,0.0321216067327076,0.406088039054221,172,410.772727272727,70.3410427333842,416.736279289991,12.6800183647221
"F_Iso4_D14","Isolate","Non_Pair","Day_14",202,1.92999357372904,0.0314563190962627,0.408257931809525,114,240.428571428571,47.6427828008678,259.841723763369,10.8473857307106
"F_Iso4_IP","Isolate","Non_Pair","Day_IP",123,1.32442874423033,0.0491310274400898,0.32217693560799,62,93.5,15.9433912398702,120.893827160494,7.21514226711248
"F_Iso5_D0","Isolate","Non_Pair","Day_0",243,1.97300490116645,0.0429467232366845,0.447726480962299,83,126.153846153846,20.0248174632834,138.293095123129,6.6836191368515
"F_Iso5_D7","Isolate","Non_Pair","Day_7",194,1.67094129666173,0.0450640475572448,0.384672225016162,78,201.75,56.4750594623978,191.823529411765,8.99026244946388
"F_Iso5_D14","Isolate","Non_Pair","Day_14",134,1.49648719889709,0.0341549685845383,0.341505728663481,81,148.363636363636,30.3269359446012,168.800366984137,8.97532027866586
"F_Iso5_IP","Isolate","Non_Pair","Day_IP",92,1.95113421076753,0.105753698787414,0.501342318327172,50,100,28.5127590835323,145.247977120536,7.6023405403394
"F_Iso6_D0","Isolate","Non_Pair","Day_0",193,1.82563998510534,0.058656123460374,0.428284562239401,72,159.875,42.0275513053743,187.390849673203,7.41079903354746
"F_Iso6_D7","Isolate","Non_Pair","Day_7",286,2.03930171052938,0.0161857402172848,0.384896103696036,201,290.023255813953,25.1673562271357,320.667482872928,11.0082297070439
"F_Iso6_IP","Isolate","Non_Pair","Day_IP",149,1.49632930934979,0.0416920150006806,0.355871271647564,68,150.666666666667,43.7265096682294,127.007541922858,6.12379862723691
"F_P1_D0","Dominant","A","Day_0",70,1.2416198199066,0.0901292242108828,0.361567980883829,32,41.4285714285714,7.25151911219812,46.4192731220597,3.36684923696544
"F_P1_D7","Dominant","A","Day_7",101,0.257299309326134,0.0301596195435541,0.0723696540749783,36,45.4285714285714,7.25223099089381,46.3152911865462,3.30818995617364
"F_P1_D14","Dominant","A","Day_14",38,0.755130718200635,0.0483279431469905,0.22201908135999,31,40,7.60683902813777,43.3017832647462,3.42747265989954
"F_P1_IP","Dominant","A","Day_IP",148,1.97525676960404,0.0776388762665182,0.488555954093054,58,116.5,32.5463354081201,136.623520710059,6.9597507703147
"F_P2_D0","Subordinate","A","Day_0",115,1.2146978870673,0.0596414090505056,0.324988030275716,43,74.625,17.9599436649085,105.212308826239,6.58951215108418
"F_P2_D7","Subordinate","A","Day_7",80,1.38339305355331,0.0938456344385563,0.410832051414642,30,45.6,11.6343959952994,61.1102331271817,4.61119520816784
"F_P2_D14","Subordinate","A","Day_14",138,1.98713668141219,0.085759767095113,0.476030744857524,66,102.909090909091,18.5459844129065,123.173913043478,6.77888210517685
"F_P2_IP","Subordinate","A","Day_IP",1122,2.56342913989115,0.0104398941898621,0.410277136597407,518,989.680412371134,75.4216220288225,1171.12659368909,23.4619053990769
"F_P3_D0","Subordinate","B","Day_0",341,1.78610071092754,0.0387482282669737,0.383000758642399,107,209.666666666667,39.0486186558841,214.214472434198,8.59974392851295
"F_P3_D7","Subordinate","B","Day_7",111,0.0645720778166452,0.0338431273212651,0.0191762414343335,30,72,25.9945907834688,143.895942322064,9.0561621932872
"F_P3_IP","Subordinate","B","Day_IP",284,1.87427215017242,0.0381383830410071,0.398740555074407,111,370.090909090909,96.877340085269,512.977962074267,14.5892691520037
"F_P4_D0","Dominant","B","Day_0",1280,1.02404166326786,0.0025647905293384,0.164832865223525,500,1142.27272727273,105.7586996692,1228.28185020442,23.3649884643609
"F_P4_D7","Dominant","B","Day_7",209,1.35117354232093,0.0295861795810361,0.300273487394359,91,232.666666666667,61.0578757439015,186.453353137247,7.26211147867458
"F_P4_D14","Dominant","B","Day_14",79,0.28176208515397,0.0449017078253965,0.0886586886802738,25,116,50.5935459970116,61.2527392257122,4.24170907713204
"F_P4_IP","Dominant","B","Day_IP",576,1.43517856073872,0.0121240869739291,0.270115362814816,204,447.285714285714,60.8857377271121,569.618342898212,16.0718068207379
